hidden_dim,n_layers,input_chunk,batch_size,smape
128,2,20,16,10.974534348676576
128,2,10,16,13.574353256744004
128,3,10,32,15.537899099131737
128,3,20,32,18.79161143904754
32,4,10,16,19.35106149896378
32,4,20,32,20.17319089387995
32,3,20,32,20.839036322056586
256,1,10,32,21.19704009495831
32,4,10,32,22.656066496288695
32,3,10,32,22.69986571949441
32,2,10,32,23.094284481446504
32,2,20,32,23.402243417872107
32,4,20,16,23.41725958329463
256,3,20,32,24.637475655858534
64,3,10,32,24.652610932513817
128,1,10,32,24.653018474221383
64,3,20,32,25.237269961447353
64,2,20,32,26.215739323003916
256,4,10,16,26.25581807391965
64,2,10,32,26.27580738170151
256,3,10,32,26.62302717166945
64,2,10,16,26.62974141487735
128,2,20,32,26.84572207301684
128,1,20,32,27.78828987137794
64,2,20,16,28.119067817410446
32,1,20,16,28.661734439466798
256,2,10,32,29.05994660707251
128,2,10,32,29.221555615718
32,1,10,32,29.536549081508557
32,1,20,32,29.553931734349746
32,1,10,16,29.97563661932952
64,1,10,16,30.159745175838534
64,1,10,32,31.219249562403945
128,3,20,16,31.24670162886839
256,4,20,16,32.42601841368151
64,1,20,32,32.57572271439325
256,2,20,32,32.63292074352894
64,3,20,16,32.96624180731454
128,3,10,16,35.02900052270395
64,1,20,16,35.047465907249055
64,3,10,16,35.16841926031099
256,4,20,32,36.13454632010176
256,1,20,32,36.17041544443853
128,4,20,16,36.76846059988859
256,4,10,32,37.08720154745035
128,1,10,16,37.286837912514855
32,2,10,16,37.64126215178399
64,4,20,32,37.874573550773896
32,2,20,16,38.14957099965781
128,1,20,16,38.30931945477292
128,4,10,16,39.08864721748046
256,3,20,16,41.71633161596967
64,4,10,32,41.95965849049231
32,3,20,16,41.975945654861256
128,4,10,32,42.65314451617122
128,4,20,32,45.31251213745501
256,3,10,16,45.83214584919588
32,3,10,16,45.985209923127215
256,2,20,16,54.79115340850397
256,1,10,16,59.94481296836656
256,1,20,16,61.570000876262
256,2,10,16,63.18364291762572
64,4,20,16,65.50736635351397
64,4,10,16,68.7660761273946
