hidden_dim,n_layers,input_chunk,batch_size,smape
64,3,20,16,4.993582074587551
128,3,20,32,6.400388593739649
256,4,20,16,7.142946279806675
256,2,20,32,7.417614879037056
32,3,20,16,7.8082460248596455
32,4,20,16,7.908179358265701
128,3,20,16,12.41175633836245
64,4,20,16,13.94369008759203
32,4,20,32,14.64909750882209
256,3,20,32,16.046369950657695
256,3,20,16,21.202102841101727
256,4,20,32,21.351454809576023
64,3,20,32,22.74440417199573
256,1,20,16,23.36411987639868
128,4,20,16,23.860355151408218
128,4,20,32,25.641628880628033
128,2,20,32,26.950611461330414
32,3,20,32,28.39501032076012
64,2,20,32,29.560217398310304
64,4,20,32,33.0785695398658
256,1,20,32,35.87836552559886
128,2,20,16,36.521961165014154
32,2,20,32,37.71850140436595
32,2,20,16,38.59665166009865
32,1,20,32,41.51853440883723
64,1,20,32,43.23800640113302
64,2,20,16,51.87804217389302
32,1,20,16,53.391843362614964
64,1,20,16,55.32224581051648
128,1,20,32,59.72178909257874
128,1,20,16,63.308599545322004
256,2,20,16,100.32852171007148
