hidden_dim,n_layers,input_chunk,batch_size,smape
32,3,8,32,7.752475041622549
32,3,8,32,7.752475041622549
32,3,8,32,7.752475041622549
32,3,16,32,7.780925615403852
32,3,12,32,7.781496339509078
128,2,12,32,7.992082904391995
128,2,16,32,7.994613244500627
128,2,8,32,8.012145875335193
128,2,8,32,8.012145875335193
128,2,8,32,8.012145875335193
64,1,16,16,8.125753682667133
32,3,12,16,8.158694402146457
32,3,16,16,8.15879162892175
32,3,8,16,8.175689907958485
32,3,8,16,8.175689907958485
32,3,8,16,8.175689907958485
64,1,12,16,8.18001228446027
128,3,12,16,8.199804790709436
128,3,16,16,8.239920471060424
64,1,8,32,8.30645599642864
64,1,8,32,8.30645599642864
64,1,8,32,8.30645599642864
64,1,8,16,8.389159391752033
64,1,8,16,8.389159391752033
64,1,8,16,8.389159391752033
256,2,12,32,8.3943763334071
256,2,16,32,8.448898854866863
64,4,8,32,8.46240671671714
64,4,8,32,8.46240671671714
64,4,8,32,8.46240671671714
128,4,8,16,8.641500333156658
128,4,8,16,8.641500333156658
128,4,8,16,8.641500333156658
128,4,16,16,8.666024308468272
128,1,12,32,8.66769326119853
128,1,16,32,8.67509674855113
64,4,12,32,8.680707481625209
64,4,16,32,8.690473823215383
128,4,12,16,8.699117351926933
128,1,8,32,8.863790802661613
128,1,8,32,8.863790802661613
128,1,8,32,8.863790802661613
64,1,12,32,9.04144084474945
128,3,8,16,9.147542728358111
128,3,8,16,9.147542728358111
128,3,8,16,9.147542728358111
64,3,8,32,9.203872354680865
64,3,8,32,9.203872354680865
64,3,8,32,9.203872354680865
64,1,16,32,9.244842903581047
256,3,16,32,9.322762741824226
256,1,8,16,9.340246447659709
256,1,8,16,9.340246447659709
256,1,8,16,9.340246447659709
256,1,12,16,9.421609554410162
256,2,8,32,9.47348525462893
256,2,8,32,9.47348525462893
256,2,8,32,9.47348525462893
256,1,16,16,9.548049258724015
32,4,8,16,9.549764647182505
32,4,8,16,9.549764647182505
32,4,8,16,9.549764647182505
32,4,8,32,9.549968759847319
32,4,8,32,9.549968759847319
32,4,8,32,9.549968759847319
128,3,8,32,9.71263693062964
128,3,8,32,9.71263693062964
128,3,8,32,9.71263693062964
64,3,12,32,9.723726221745778
256,3,8,16,9.89907227017681
256,3,8,16,9.89907227017681
256,3,8,16,9.89907227017681
256,3,12,32,10.078771137174648
64,3,16,32,10.08989244555074
128,2,16,16,10.095156804245166
256,4,8,16,10.210128698366999
256,4,8,16,10.210128698366999
256,4,8,16,10.210128698366999
256,4,12,16,10.488675695309935
256,4,16,16,10.651776689472358
32,2,16,32,11.016030361797087
32,2,12,32,11.095239643627039
32,1,16,16,11.52886330400834
32,4,12,16,11.746825055363649
32,1,12,16,11.95707611625385
256,1,16,32,12.907021323857947
256,3,16,16,13.015881527300047
256,1,12,32,13.057244202419602
256,3,12,16,13.133502183320624
32,2,12,16,13.381920941228566
128,2,12,16,13.439165885806323
32,2,16,16,13.63383920506778
64,2,16,32,13.677120007383273
256,1,8,32,13.69314601191404
256,1,8,32,13.69314601191404
256,1,8,32,13.69314601191404
32,4,12,32,13.777181646178022
32,2,8,16,13.860198314030356
32,2,8,16,13.860198314030356
32,2,8,16,13.860198314030356
32,4,16,16,13.86228351016731
32,2,8,32,13.891693061041506
32,2,8,32,13.891693061041506
32,2,8,32,13.891693061041506
64,2,12,32,13.931574818518989
128,1,16,16,14.123872739108387
128,1,12,16,14.185656389594506
128,3,12,32,14.568307729255691
128,1,8,16,14.69445763378313
128,1,8,16,14.69445763378313
128,1,8,16,14.69445763378313
32,1,8,32,14.800188987814506
32,1,8,32,14.800188987814506
32,1,8,32,14.800188987814506
64,3,8,16,15.0184212241008
64,3,8,16,15.0184212241008
64,3,8,16,15.0184212241008
32,1,8,16,15.929108092083737
32,1,8,16,15.929108092083737
32,1,8,16,15.929108092083737
64,2,8,32,16.07423279078047
64,2,8,32,16.07423279078047
64,2,8,32,16.07423279078047
256,4,8,32,16.089281657796047
256,4,8,32,16.089281657796047
256,4,8,32,16.089281657796047
32,1,16,32,16.7013814475041
256,4,12,32,16.741899813861
256,4,16,32,16.967792145164662
32,1,12,32,17.345079584795524
64,3,12,16,17.88805452878806
64,3,16,16,18.831031558364526
32,4,16,32,19.24756974190357
128,2,8,16,19.40193550609861
128,2,8,16,19.40193550609861
128,2,8,16,19.40193550609861
128,3,16,32,20.434565068540206
64,2,8,16,20.711808617956155
64,2,8,16,20.711808617956155
64,2,8,16,20.711808617956155
64,2,16,16,22.001342991271486
64,2,12,16,22.18811285322542
64,4,16,16,23.048841676956233
256,3,8,32,23.239594626614963
256,3,8,32,23.239594626614963
256,3,8,32,23.239594626614963
64,4,12,16,23.298396393614208
64,4,8,16,24.271041904217793
64,4,8,16,24.271041904217793
64,4,8,16,24.271041904217793
256,2,8,16,27.76427762251269
256,2,8,16,27.76427762251269
256,2,8,16,27.76427762251269
256,2,16,16,28.736458330868654
256,2,12,16,31.931514351515204
128,4,8,32,33.80108401316372
128,4,8,32,33.80108401316372
128,4,8,32,33.80108401316372
128,4,12,32,35.32807209172905
128,4,16,32,35.41684243239706
